County Name,Region Code,Date,Sales volume,Average price All property types,House price index All property types,Property type sales Volume,Average price Detached houses,House price index Detached houses,Semi-Detached House Price,Semi-Detached House Price Index,Terraced House Price,House price index Terraced houses,Flats Price,Flats Price Index,First-time Buyers Price,House price index First-time buyers,Average price Former owner-occupiers,Former Owner Price Index,Average price Cash purchases,House price index Cash purchases,Cash Purchase Sales Volume,Average price Mortgage purchases,Price Mortgage Purchase Index,Mortgage Sales Volume,Average price New build,House price index New build,Sales volume New build,Average price Existing properties,Existing Properties Index,Existing properties Sales Volume
Shetland Islands,S12000027,2020-03,19.0,169760,127.21,19.0,211827,127.48,145082,129.18,114813,123.89,109339,125.96,147240,127.03,187429,127.45,179555,127.59,9.0,165966,127.06,10.0,195444.0,134.29,11.0,169406.0,127.17,19.0
Shetland Islands,S12000027,2020-04,10.0,166100,124.47,10.0,207327,124.77,141933,126.37,112634,121.54,106600,122.81,144030,124.26,183413,124.72,175668,124.83,1.0,162393,124.33,9.0,191748.0,131.75,7.8,165742.0,124.42,10.0
Shetland Islands,S12000027,2020-05,7.0,149012,111.66,7.0,185669,111.74,127434,113.46,101209,109.21,96271,110.91,129342,111.59,164451,111.82,157753,112.1,2.0,145628,111.49,5.0,173074.0,118.92,15.2,148668.0,111.6,7.0
Shetland Islands,S12000027,2020-06,13.0,120527,90.32,13.0,150302,90.45,103172,91.86,81937,88.42,77211,88.95,104659,90.3,132985,90.43,127497,90.6,10.0,117827,90.21,3.0,139839.0,96.09,14.4,120253.0,90.27,13.0
Shetland Islands,S12000027,2020-07,20.0,127617,95.63,20.0,159345,95.89,108910,96.97,86130,92.94,82375,94.9,110627,95.44,140944,95.84,135449,96.25,8.0,124593,95.39,12.0,146097.0,100.39,0.0,127369.0,95.61,20.0
Shetland Islands,S12000027,2020-08,21.0,150730,112.95,21.0,187760,112.99,129044,114.9,101954,110.02,97553,112.38,130969,112.99,166252,113.05,159973,113.67,7.0,147161,112.67,14.0,171175.0,117.62,0.0,150467.0,112.95,21.0
Shetland Islands,S12000027,2020-09,21.0,182957,137.1,21.0,227740,137.05,156912,139.71,124071,133.88,118025,135.97,159070,137.24,201725,137.17,193748,137.67,9.0,178782,136.88,12.0,208516.0,143.28,0.0,182620.0,137.09,21.0
Shetland Islands,S12000027,2020-10,32.0,182347,136.64,32.0,226943,136.57,156545,139.38,124051,133.86,117090,134.89,158717,136.94,200925,136.63,192739,136.96,15.0,178319,136.52,17.0,205927.0,141.5,0.0,182053.0,136.67,32.0
Shetland Islands,S12000027,2020-11,36.0,163015,122.16,36.0,203739,122.61,139182,123.92,110459,119.19,104155,119.99,141519,122.1,179889,122.32,172587,122.64,12.0,159311,121.97,24.0,181726.0,124.87,0.0,162806.0,122.22,36.0
Shetland Islands,S12000027,2020-12,37.0,164397,123.19,37.0,206209,124.1,139636,124.33,110950,119.72,104793,120.73,142246,122.72,181755,123.59,174602,124.07,12.0,160458,122.85,25.0,180556.0,124.06,0.0,164246.0,123.3,37.0
Shetland Islands,S12000027,2021-01,32.0,159666,119.6,32.0,199910,120.3,135617,120.7,107673,116.2,102946,118.6,138208,119.2,176485,120.0,169813,120.7,11.0,155755,119.2,21.0,173504.0,119.2,2.6,159562.0,119.8,32.0
Shetland Islands,S12000027,2021-02,19.0,173929,130.3,19.0,217788,131.1,147516,131.3,117455,126.7,112554,129.7,150465,129.8,192329,130.8,184844,131.3,9.0,169734,129.9,10.0,188089.0,129.2,36.0,173833.0,130.5,19.0
Shetland Islands,S12000027,2021-03,27.0,176103,132.0,27.0,219911,132.3,149689,133.3,119568,129.0,114526,131.9,152313,131.4,194795,132.5,186919,132.8,6.0,171991,131.7,21.0,188482.0,129.5,28.0,176041.0,132.2,27.0
Shetland Islands,S12000027,2021-04,24.0,186366,139.7,24.0,232793,140.1,158248,140.9,126569,136.6,121284,139.7,161135,139.0,206190,140.2,197703,140.5,9.0,182070,139.4,15.0,201205.0,138.3,1.0,186278.0,139.8,23.0
Shetland Islands,S12000027,2021-05,17.0,195143,146.2,17.0,243097,146.3,166441,148.2,132576,143.1,127184,146.5,169214,146.0,215500,146.5,206643,146.8,6.0,190838,146.1,11.0,211987.0,145.7,23.8,195034.0,146.4,17.0
Shetland Islands,S12000027,2021-06,29.0,188184,141.0,29.0,234668,141.2,159857,142.3,127911,138.0,123121,141.8,163148,140.8,207842,141.3,199515,141.8,13.0,183907,140.8,16.0,203054.0,139.5,15.6,188097.0,141.2,29.0
Shetland Islands,S12000027,2021-07,25.0,172675,129.4,25.0,215028,129.4,147308,131.2,117103,126.4,112911,130.1,150076,129.5,190408,129.5,183045,130.1,12.0,168765,129.2,13.0,186075.0,127.9,34.8,172598.0,129.6,25.0
Shetland Islands,S12000027,2021-08,27.0,159774,119.7,27.0,199314,119.9,136293,121.4,108112,116.7,103988,119.8,138575,119.6,176419,120.0,169592,120.5,12.0,156042,119.5,15.0,169035.0,116.1,7.2,159744.0,119.9,27.0
Shetland Islands,S12000027,2021-09,21.0,162732,121.9,21.0,202951,122.1,139213,124.0,109619,118.3,105912,122.0,141387,122.0,179480,122.0,172771,122.8,7.0,158909,121.7,14.0,171552.0,117.9,7.2,162709.0,122.1,21.0
Shetland Islands,S12000027,2021-10,29.0,177622,133.1,29.0,222796,134.1,151057,134.5,119162,128.6,114818,132.3,153720,132.6,196398,133.5,188629,134.0,15.0,173424,132.8,14.0,184298.0,126.6,29.6,177635.0,133.3,29.0
Shetland Islands,S12000027,2021-11,30.0,184718,138.4,30.0,232476,139.9,156498,139.3,123792,133.6,118825,136.9,159205,137.4,204786,139.3,196516,139.6,10.0,180170,137.9,20.0,193316.0,132.8,1.0,184709.0,138.7,29.0
Shetland Islands,S12000027,2021-12,13.0,172471,129.2,13.0,217624,131.0,146016,130.0,115331,124.5,110187,126.9,148437,128.1,191385,130.1,183324,130.3,7.0,168310,128.9,6.0,180396.0,124.0,22.2,172465.0,129.5,13.0
Shetland Islands,S12000027,2022-01,26.0,169932,127.3,26.0,214727,129.2,143606,127.9,113716,122.7,108237,124.7,145838,125.8,188911,128.5,180962,128.6,7.0,165657,126.8,19.0,177860.0,122.2,1.0,169924.0,127.6,25.0
Shetland Islands,S12000027,2022-02,16.0,173413,129.9,16.0,218705,131.6,146788,130.7,116200,125.4,110838,127.7,149423,128.9,192439,130.9,184693,131.2,6.0,169037,129.4,10.0,182849.0,125.6,1.0,173409.0,130.2,15.0
Shetland Islands,S12000027,2022-03,20.0,192597,144.3,20.0,242931,146.2,162964,145.1,129155,139.4,123102,141.8,165931,143.2,213808,145.4,205531,146.0,5.0,187528,143.6,15.0,207455.0,142.5,27.0,192564.0,144.6,20.0
Shetland Islands,S12000027,2022-04,25.0,194137,145.5,25.0,244645,147.2,164398,146.4,130739,141.1,123857,142.7,167485,144.5,215385,146.5,207121,147.2,9.0,189054,144.7,16.0,210460.0,144.6,43.6,194099.0,145.7,25.0
Shetland Islands,S12000027,2022-05,19.0,199189,149.3,19.0,251032,151.1,168561,150.1,134442,145.1,126948,146.2,171592,148.0,221135,150.4,212457,151.0,9.0,194000,148.5,10.0,214969.0,147.7,42.4,199153.0,149.5,19.0
Shetland Islands,S12000027,2022-06,18.0,201579,151.1,18.0,254692,153.3,170092,151.4,135985,146.7,128004,147.5,173105,149.3,224109,152.4,215363,153.0,7.0,196151,150.2,11.0,214515.0,147.4,38.6,201552.0,151.3,18.0
Shetland Islands,S12000027,2022-07,24.0,191222,143.3,24.0,241075,145.1,161710,144.0,129416,139.7,121584,140.1,164356,141.8,212511,144.5,204207,145.1,11.0,186119,142.5,13.0,204071.0,140.2,1.0,191195.0,143.5,23.0
